License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2020,1XX,wt,SUM,0,0,0,78,44,34,0,3,75,24,20
2020,200,all_deer,N,0,0,0,31,29,2,0,0,31,6,23
2020,200,all_deer,R,0,0,0,198,150,49,0,4,194,48,102
2020,200,all_deer,SUM,0,0,0,229,179,51,0,4,226,53,125
2020,200,md,N,0,0,0,9,9,0,0,0,9,3,6
2020,200,md,R,0,0,0,31,31,0,0,0,31,20,10
2020,200,md,SUM,0,0,0,39,39,0,0,0,39,23,16
2020,200,wt,N,0,0,0,22,20,2,0,0,22,3,18
2020,200,wt,R,0,0,0,168,119,49,0,4,164,27,92
2020,200,wt,SUM,0,0,0,190,139,51,0,4,186,30,109
2020,201,all_deer,N,0,0,0,23,23,0,0,6,17,12,11
2020,201,all_deer,R,0,0,0,598,500,99,0,24,574,209,291
2020,201,all_deer,SUM,0,0,0,621,522,99,0,30,591,221,302
2020,201,md,N,0,0,0,6,6,0,0,3,3,3,3
2020,201,md,R,0,0,0,54,54,0,0,3,51,34,20
2020,201,md,SUM,0,0,0,60,60,0,0,6,54,37,23
2020,201,wt,N,0,0,0,17,17,0,0,3,14,9,8
2020,201,wt,R,0,0,0,544,445,99,0,21,523,175,270
2020,201,wt,SUM,0,0,0,561,462,99,0,24,537,184,278
2020,202,all_deer,N,0,0,0,56,52,4,0,0,56,12,41
2020,202,all_deer,R,0,0,0,459,418,36,5,3,456,140,279
2020,202,all_deer,SUM,0,0,0,515,471,39,5,3,512,152,319
2020,202,md,N,0,0,0,9,9,0,0,0,9,3,6
2020,202,md,R,0,0,0,95,95,0,0,0,95,35,60
2020,202,md,SUM,0,0,0,104,104,0,0,0,104,38,66
2020,202,wt,N,0,0,0,48,44,4,0,0,48,9,35
2020,202,wt,R,0,0,0,364,323,36,5,3,361,105,218
2020,202,wt,SUM,0,0,0,412,367,39,5,3,408,114,253
2020,203,all_deer,N,0,0,0,20,20,0,0,3,18,6,15
2020,203,all_deer,R,0,0,0,505,454,50,0,16,489,207,248
2020,203,all_deer,SUM,0,0,0,525,475,50,0,18,507,213,262
2020,203,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,203,md,R,0,0,0,134,126,9,0,7,127,68,58
2020,203,md,SUM,0,0,0,134,126,9,0,7,127,68,58
2020,203,wt,N,0,0,0,20,20,0,0,3,18,6,15
2020,203,wt,R,0,0,0,371,329,42,0,9,362,139,190
2020,203,wt,SUM,0,0,0,391,349,42,0,12,379,145,205
2020,204,all_deer,N,0,0,0,24,10,13,0,0,24,8,2
2020,204,all_deer,R,0,0,0,435,270,165,0,84,351,111,159
2020,204,all_deer,SUM,0,0,0,459,280,179,0,84,375,119,162
2020,204,md,N,0,0,0,5,5,0,0,0,5,2,2
2020,204,md,R,0,0,0,66,52,14,0,2,64,36,16
2020,204,md,SUM,0,0,0,70,57,14,0,2,68,39,18
2020,204,wt,N,0,0,0,19,6,13,0,0,19,6,0
2020,204,wt,R,0,0,0,369,218,152,0,82,288,74,144
2020,204,wt,SUM,0,0,0,388,224,165,0,82,307,80,144
2020,210,all_deer,N,0,0,0,21,11,10,0,0,21,6,5
2020,210,all_deer,R,0,0,0,426,198,225,3,28,398,72,126
2020,210,all_deer,SUM,0,0,0,447,208,235,3,28,419,78,131
2020,210,md,N,0,0,0,5,3,2,0,0,5,3,0
2020,210,md,R,0,0,0,65,35,30,0,0,65,5,30
2020,210,md,SUM,0,0,0,70,38,32,0,0,70,7,30
2020,210,wt,N,0,0,0,16,8,8,0,0,16,3,5
2020,210,wt,R,0,0,0,361,163,195,3,28,334,67,96
2020,210,wt,SUM,0,0,0,377,171,203,3,28,350,70,101
2020,211,all_deer,N,0,0,0,0,0,0,0,0,0,0,0
2020,211,all_deer,R,0,0,0,57,53,3,0,10,47,17,36
2020,211,all_deer,SUM,0,0,0,57,53,3,0,10,47,17,36
2020,211,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,211,md,R,0,0,0,24,24,0,0,0,24,10,14
2020,211,md,SUM,0,0,0,24,24,0,0,0,24,10,14
2020,211,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,211,wt,R,0,0,0,33,30,3,0,10,23,7,23
2020,211,wt,SUM,0,0,0,33,30,3,0,10,23,7,23
2020,212,all_deer,N,0,0,0,10,7,3,0,0,10,0,7
2020,212,all_deer,R,0,0,0,125,80,45,0,14,111,30,47
