"species","length","weight"
"LT",620,1733
"N PMN",267,139
"N PMN",260,148
"YP",155,39
"PEA",262,152
"L WF",433,767
"PEA",295,208
"L WF",460,841
"PEA",256,140
"N PMN",279,179
"N PMN",350,322
"N PMN",275,181
"N PMN",292,210
"YP",142,26
"N PMN",175,44
"N PMN",313,232
"N PMN",335,301
"LN SU",312,310
"N PMN",300,210
"N PMN",326,311
"YP",182,62
"L WF",480,1125
"N PMN",171,40
"L WF",505,1298
"N PMN",265,150
"N PMN",319,237
"N PMN",375,157
"N PMN",185,59
"YP",161,41
"PEA",255,141
"N PMN",210,62
"N PMN",315,197
"N PMN",342,308
"L WF",500,1072
"N PMN",289,175
"YP",141,28
"RBXCT",330,343
"LT",603,1891
"YP",214,105
"N PMN",200,63
"YP",148,28
"YP",186,67
"L WF",463,981
"N PMN",241,98
"YP",151,30
"RBXCT",333,478
"L WF",481,975
"L WF",492,1197
"YP",234,144
"PEA",268,166
"N PMN",326,256
"N PMN",290,240
"YP",200,81
"N PMN",330,353
"PEA",234,103
"YP",210,97
"PEA",262,141
"L WF",501,1224
"N PMN",272,162
"PEA",280,147
"YP",135,23
"PEA",295,226
"N PMN",320,277
"L WF",500,1263
"N PMN",270,152
"L WF",504,1091
"L WF",454,869
"N PMN",301,188
"YP",143,29
"L WF",441,828
"LS SU",441,870
"N PMN",256,117
"N PMN",340,287
"N PMN",264,156
"N PMN",310,234
"N PMN",365,419
"N PMN",176,44
"N PMN",247,126
"PEA",266,168
"N PMN",178,46
"N PMN",174,38
"N PMN",533,1652
"N PMN",176,163
"YP",147,30
"YP",182,67
"N PMN",245,133
"N PMN",274,168
"N PMN",375,460
"PEA",260,137
"LS SU",540,1836
"N PMN",257,139
"PEA",253,144
"L WF",401,518
"N PMN",371,408
"N PMN",181,49
"N PMN",262,154
"N PMN",342,394
"YP",200,81
"N PMN",195,62
"YP",213,91
"PEA",250,137
"N PMN",293,193
"N PMN",274,432
"L WF",437,904
"YP",225,117
"YP",161,38
"L WF",437,742
"PEA",276,180
"N PMN",271,121
"PEA",251,146
"PEA",263,145
"L WF",443,896
"N PMN",265,137
"N PMN",240,111
"L WF",494,1160
"PEA",265,177
"N PMN",310,199
"N PMN",340,331
"N PMN",195,52
"RS SH",140,29
"N PMN",267,148
"N PMN",331,261
"L WF",454,704
"N PMN",296,190
"N PMN",265,150
"L WF",415,556
"YP",139,45
"YP",179,58
"N PMN",295,215
"N PMN",300,207
"L WF",460,1154
"N PMN",392,486
"YP",160,43
"YP",144,29
"N PMN",315,222
"N PMN",285,139
"BULL",352,340
"L WF",437,690
"L WF",422,695
"PEA",276,187
"L WF",490,969
"PEA",340,321
"PEA",278,175
"N PMN",243,100
"L WF",483,1130
"N PMN",219,85
"N PMN",275,161
"N PMN",180,38
"N PMN",321,280
"N PMN",305,219
"L WF",455,845
"L WF",452,823
"N PMN",272,148
"L WF",510,1214
"BULL",353,326
"WCT",345,366
"L WF",466,896
"RBXWCT",340,344
"L WF",476,1112
"WCT",340,372
"LT",758,3476
"RBXWCT",370,472
"N PMN",270,266
"LT",638,1660
"LT",630,1616
"RBXWCT",311,296
"MWF",235,102
"RBXWCT",341,378
"L WF",550,1924
"WCT",366,480
"L WF",195,49
"L WF",435,786
"LT",585,1604
"L WF",410,586
"L WF",453,940
"L WF",356,342
"L WF",386,492
"L WF",485,1087
"L WF",452,791
"PWF",142,20
"PWF",108,7
"LT",475,1120
"L WF",380,464
"L WF",457,889
"L WF",362,365
"L WF",505,1254
"L WF",366,404
"LT",750,1979
"L WF",520,1617
"PWF",106,7
"L WF",500,1412
"LT",396,629
"L WF",452,790
"L WF",492,1056
"L WF",250,136
"L WF",479,1152
"LT",437,662
"L WF",448,989
"LT",512,1148
"N PMN",258,148
"PWF",98,6
"PWF",107,7
"LT",785,3697
"L WF",475,1123
"LT",762,3860
"L WF",476,1197
"L WF",402,527
"N PMN",350,380
"L WF",425,614
"L WF",378,501
"LT",310,256
"PWF",105,6
"PWF",107,7
"PWF",125,14
"L WF",480,1100
"L WF",479,936
"PWF",136,16
"L WF",501,1326
"N PMN",258,135
"LT",695,2413
"L WF",353,384
"PWF",140,20
"L WF",474,1127
"L WF",454,845
"L WF",395,469
"L WF",462,916
"LT",472,1133
"L WF",437,793
"N PMN",243,131
"N PMN",228,101
"L WF",254,121
"L WF",395,476
"L WF",448,734
"L WF",410,716
"LT",518,1278
"L WF",369,485
"LT",654,2407
"N PMN",276,191
"PWF",97,6
"PWF",107,7
"LT",752,3268
"L WF",505,1475
"LT",636,1760
"L WF",488,1019
"N PMN",296,225
"LT",525,1154
"LT",580,1469
"L WF",331,331
"PWF",164,29
"L WF",367,485
"LT",664,2567
"PWF",108,6
"L WF",533,1443
"PWF",142,17
"L WF",378,450
"PWF",105,7
"N PMN",255,148
"L WF",475,1120
"L WF",398,512
"LT",785,4545
"N PMN",392,535
"L WF",352,315
"L WF",412,614
"L WF",465,905
"LT",757,3501
"L WF",470,880
"LT",444,973
"L WF",508,1620
"LT",596,1798
"L WF",400,600
"LT",395,735
"L WF",400,540
"L WF",446,766
"L WF",345,353
"PWF",106,7
"LT",682,2465
"L WF",458,932
"L WF",350,329
"L WF",470,1014
"L WF",371,455
"L WF",420,636
"LT",695,2541
"L WF",433,777
"L WF",186,47
"L WF",250,113
"PWF",137,17
"LT",718,2883
"LT",251,122
"L WF",370,444
"L WF",329,238
"L WF",201,56
"L WF",124,13
"LT",404,679
"PWF",146,18
"LT",251,122
"L WF",308,226
"PWF",138,16
"L WF",152,23
"L WF",229,85
"PWF",104,7
"PWF",105,7
"PWF",105,7
"L WF",268,143
"L WF",254,109
"L WF",265,134
"L WF",197,53
"PWF",113,8
"L WF",303,201
"L WF",145,19
"L WF",212,57
"L WF",486,1077
"PWF",109,7
"PWF",170,36
"L WF",310,232
"L WF",397,486
"PWF",143,21
"L WF",209,58
"PWF",135,14
"LT",273,163
"LT",433,762
"LT",310,274
"L WF",216,67
"LT",375,536
"PWF",105,6
"L WF",260,127
"L WF",131,15
"L WF",300,202
"PWF",134,14
"LT",775,3628
"PWF",139,16
"LT",368,410
"L WF",219,48
"L WF",255,120
"PWF",106,6
"PWF",154,21
"LT",440,663
"L WF",212,68
"L WF",288,173
"L WF",259,121
"L WF",185,42
"L WF",309,232
"LT",273,163
"L WF",415,674
"PWF",110,8
"PWF",121,10
"L WF",127,13
"L WF",241,109
"LT",446,745
"PWF",106,7
"L WF",385,489
"L WF",328,265
"L WF",245,108
"L WF",275,146
"PWF",133,14
"L WF",376,536
"L WF",265,137
"L WF",131,14
"PWF",138,18
"L WF",249,108
"LT",268,153
"L WF",140,20
"L WF",188,46
"L WF",295,192
"PWF",104,6
"L WF",296,199
"PWF",133,15
"LT",235,113
"L WF",252,116
"LT",368,373
"PWF",149,17
"L WF",255,114
"LT",532,1375
"PWF",108,8
"PWF",110,8
"L WF",182,42
"PWF",139,18
"L WF",190,46
"LT",651,2096
"L WF",260,126
"PWF",110,6
"L WF",143,20
"L WF",272,142
"L WF",226,84
"PWF",114,8
"PWF",154,25
"L WF",131,16
"PWF",106,7
"L WF",130,14
"PWF",111,8
"LT",325,328
"L WF",235,99
"L WF",242,95
"L WF",215,64
"LT",666,2171
"L WF",138,19
"PWF",137,18
"L WF",446,827
"L WF",185,43
"L WF",245,100
"L WF",225,74
"L WF",375,418
"L WF",218,65
"L WF",284,179
"L WF",200,54
"L WF",147,23
"L WF",305,239
"PWF",140,18
"PWF",138,17
"LT",405,691
"L WF",221,68
"PWF",136,18
"LT",383,486
"PWF",152,19
"PWF",140,17
"LT",445,693
"L WF",185,43
