"district","species","harvest","bucks","does","fawns","smallBucks","bigBucks"
"426","md",720,643,77,0,135,508
"426","wt",88,33,51,3,7,27
"432","md",254,220,31,3,77,143
"432","wt",97,50,46,0,14,37
"441","md",83,69,14,0,12,57
"441","wt",164,88,76,0,23,65
"442","md",53,50,3,0,17,33
"442","wt",96,53,42,0,14,40
"444","md",171,161,10,0,59,102
"444","wt",511,215,290,7,53,161
"445","md",236,167,65,3,53,114
"445","wt",593,223,364,6,30,187
"446","md",145,145,0,0,52,93
"446","wt",278,130,148,0,33,93
"447","md",670,574,90,7,174,396
"447","wt",426,256,167,3,44,212
"448","md",133,92,41,0,38,54
"448","wt",42,17,25,0,3,14
"450","md",90,66,24,0,24,43
"450","wt",82,47,35,0,20,27
"451","md",10,10,0,0,3,6
"451","wt",27,17,10,0,6,10
"452","md",111,105,6,0,45,60
"452","wt",149,74,72,3,33,41
"454","md",105,102,3,0,69,33
"454","wt",53,37,16,0,13,24
"455","md",10,10,0,0,7,3
"455","wt",26,16,10,0,0,16
"471","md",453,414,40,0,84,329
"471","wt",45,24,21,0,7,17
"500","md",909,650,255,3,311,339
"500","wt",270,158,112,0,30,128
"502","md",599,416,182,0,209,207
"502","wt",274,141,133,0,27,114
"510","md",154,107,41,7,37,70
"510","wt",39,23,16,0,10,14
"511","md",176,166,10,0,94,72
"511","wt",161,95,66,0,32,63
"520","md",272,204,69,0,91,113
"520","wt",486,248,235,3,54,194
"530","md",670,438,232,0,133,306
"530","wt",234,149,74,12,24,125
"540","md",170,141,29,0,72,65
"540","wt",110,62,48,0,7,55
"560","md",321,281,40,0,115,166
"560","wt",463,234,228,0,47,187
"570","md",416,350,60,7,105,244
"570","wt",430,249,179,3,47,202
"575","md",739,486,253,0,249,237
"575","wt",577,273,304,0,48,226
"580","md",224,190,34,0,65,126
"580","wt",707,318,386,3,62,256
"590","md",1501,1135,349,17,372,763
"590","wt",941,462,455,24,78,384
"600","md",1281,874,397,9,237,638
"600","wt",622,352,263,7,34,315
"620","md",1038,694,341,3,174,520
"620","wt",177,95,83,0,10,85
"621","md",483,392,91,0,134,258
"621","wt",46,30,16,0,0,30
"622","md",262,244,19,0,56,187
"622","wt",17,6,7,3,0,6
"630","md",947,697,250,0,140,554
"630","wt",544,201,294,49,31,171
"631","md",139,103,35,0,19,84
"631","wt",10,3,7,0,3,0
"632","md",246,207,39,0,39,168
"632","wt",13,10,3,0,0,10
"640","md",1590,1038,552,0,182,856
"640","wt",830,535,293,3,27,508
"650","md",1742,1272,467,3,235,1037
"650","wt",572,317,251,4,31,286
"652","md",135,103,32,0,19,84
"652","wt",64,15,49,0,3,11
"670","md",2247,1440,779,27,242,1198
"670","wt",696,372,320,3,30,343
"690","md",2232,1585,644,3,316,1269
"690","wt",713,340,327,46,47,293
"700","md",2893,1733,1146,14,378,1355
"700","wt",735,334,397,4,36,297
"701","md",2247,1604,636,7,351,1253
"701","wt",1382,671,708,4,39,628
"702","md",1403,897,506,0,203,694
"702","wt",390,199,188,4,34,165
"703","md",2656,1808,847,0,434,1375
"703","wt",1338,697,627,14,90,604
"704","md",3187,2207,980,0,594,1610
"704","wt",1054,649,402,3,70,575
"705","md",3551,2186,1366,0,531,1644
"705","wt",1971,1033,931,7,93,940
